bar_index,timestamp,close,high,low,volume,log_return_1m,log_return_5m,log_return_60m,efficiency_ratio_h1,momentum_strength_10_zsarctan_w20,atr_14,atr_14_zsarctan_w20,vol_ratio_deviation,realized_vol_60_zsarctan_w20,h1_swing_range_position,swing_point_range,high_swing_slope_h1,low_swing_slope_h1,h1_trend_slope_zsarctan,h1_swing_range_position_zsarctan_w20,swing_point_range_zsarctan_w20,high_swing_slope_h1_zsarctan,low_swing_slope_h1_zsarctan,high_swing_slope_m1_zsarctan_w20,low_swing_slope_m1_zsarctan_w20,combo_geometric,bb_position,hour_sin,hour_cos,dow_sin,dow_cos
0,2022-01-02 17:05:00,155.725000,155.736000,155.725000,2,,,,,,,,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
1,2022-01-02 17:06:00,155.725000,155.725000,155.718000,4,0.000000,,,,0.000000,0.007000,0.000000,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
2,2022-01-02 17:10:00,155.725000,155.737000,155.725000,2,0.000000,,,,0.000000,0.009500,0.034373,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
3,2022-01-02 17:11:00,155.725000,155.725000,155.718000,2,0.000000,,,,0.000000,0.008667,0.007646,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
4,2022-01-02 17:13:00,155.725000,155.740000,155.725000,2,0.000000,,,,0.000000,0.010250,0.038374,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
5,2022-01-02 17:16:00,155.775000,155.775000,155.748000,4,0.000321,0.000321,,,0.273997,0.018200,0.199047,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
6,2022-01-02 17:26:00,155.752000,155.775000,155.749000,6,-0.000148,0.000173,,,0.102626,0.019500,0.194982,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
7,2022-01-02 17:27:00,155.738000,155.749000,155.738000,3,-0.000090,0.000083,,,0.001051,0.018714,0.151116,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
8,2022-01-02 17:29:00,155.739000,155.756000,155.739000,3,0.000006,0.000090,,,0.007314,0.018625,0.130747,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
9,2022-01-02 17:30:00,155.769000,155.769000,155.769000,1,0.000193,0.000283,,,0.195006,0.019889,0.146181,,,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
10,2022-01-02 17:31:00,155.755000,155.755000,155.755000,1,-0.000090,-0.000128,,,0.088575,0.019300,0.117967,0.000000,0.000000,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
11,2022-01-02 17:32:00,155.749000,155.769000,155.749000,2,-0.000039,-0.000019,,,0.041134,0.019364,0.109002,0.000000,-0.019203,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
12,2022-01-02 17:34:00,155.745000,155.745000,155.745000,1,-0.000026,0.000045,,,0.010966,0.018083,0.068339,0.000000,-0.037026,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
13,2022-01-02 17:39:00,155.762000,155.770000,155.754000,3,0.000109,0.000148,,,0.123219,0.018615,0.076474,0.000000,-0.039345,,,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
14,2022-01-02 17:40:00,155.852000,155.862000,155.779000,15,0.000578,0.000533,,,0.541821,0.024429,0.211763,0.000000,0.288632,0.930556,0.144000,,,,,,,,,,,,-0.965926,-0.258819,0.000000,1.000000
